Reported Date,Total Number of Dead and Missing,Coordinates
"January 12, 2019",1,"18.329901676, -95.812964295"
"January 12, 2019",1,"22.447348, 11.400239"
"January 12, 2019",2,"25.52952, 13.326404"
"January 12, 2019",1,"24.904515, 14.631187"
"January 12, 2019",1,"32.156300703, 19.880491979"
"January 13, 2019",3,"22.952903, 23.248192"
"January 13, 2019",5,"31.220020736, 16.567751261"
"January 14, 2019",5,"31.220020736, 16.567751261"
"January 14, 2019",1,"37.8573596, 27.167936354"
"January 14, 2019",1,"33.388137, -112.228508"
"January 14, 2019",1,"28.730727706, -100.563445216"
"January 14, 2019",1,"21.493465, 23.815375"
"January 14, 2019",1,"21.681858, 11.593132"
"January 15, 2019",16,"22.115985, 5.405024"
"January 15, 2019",7,"20.050684, 5.543735"
"January 15, 2019",3,"40.942167952, 26.352665973"
"January 15, 2019",1,"35.289594291, -2.933496506"
"January 15, 2019",1,"30.862897261, 19.392997674"
"January 15, 2019",1,"19.1780491, -96.1288426"
"January 15, 2019",2,"27.478392338, -99.479276946"
"January 16, 2019",1,"26.258109879, -98.59673387"
"January 16, 2019",1,"29.0639375, -100.6635625"
"January 16, 2019",1,"22.422016, 12.641009"
"January 16, 2019",1,"13.561406, 2.160966"
"January 17, 2019",1,"20.357876, 25.085386"
"January 17, 2019",1,"17.012219, 7.981361"
"January 17, 2019",1,"32.484934, -111.666239"
"January 17, 2019",1,"31.748033, -111.955733"
"January 17, 2019",53,"35.68370904, -3.185250605"
"January 18, 2019",117,"34.177488405, 14.107902221"
"January 18, 2019",1,"37.283283323, 27.104012036"
"January 18, 2019",1,"24.932986, 14.609129"
"January 18, 2019",13,"16.795475, -3.005595"
"January 19, 2019",1,"32.199917, -113.242333"
"January 19, 2019",1,"16.986851, 7.997846"
"January 19, 2019",22,"22.115985, 5.405024"
"January 19, 2019",9,"33.317735, 6.854323"
"January 19, 2019",1,"32.788117, -113.110767"
"January 20, 2019",2,"32.980238101, 13.179283824"
"January 20, 2019",1,"16.97733, 7.973378"
"January 20, 2019",1,"16.97733, 7.973378"
"January 20, 2019",2,"27.051908, 14.444401"
"January 20, 2019",1,"32.772563, 12.408455"
"January 20, 2019",2,"25.79453, 13.195473"
"January 20, 2019",2,"12.699137, -8.023181"
"January 21, 2019",1,"17.012219, 7.981361"
"January 21, 2019",1,"16.230954, -0.019296"
"January 21, 2019",1,"32.46409, -113.13683"
"January 21, 2019",1,"32.45611, -113.13738"
"January 21, 2019",1,"32.45311, -113.14"
"January 21, 2019",1,"32.42882, -113.15696"
"January 21, 2019",1,"32.4231, -113.15253"
"January 21, 2019",7,"32.638272651, 14.273579121"
"January 21, 2019",1,"17.932600659, -94.905738831"
"January 21, 2019",2,"35.398647117, -1.389655988"
"January 22, 2019",4,"10.4609245, 99.131347"
"January 22, 2019",1,"27.496386436, -99.52252147"
"January 22, 2019",1,"36.334378214, 0.715927412"
"January 22, 2019",2,"12.482283, -1.505151"
"January 22, 2019",2,"22.115985, 5.405024"
"January 22, 2019",2,"10.495701, -5.645127"
"January 23, 2019",2,"23.569185, 23.176929"
"January 23, 2019",2,"23.569185, 23.176929"
"January 23, 2019",1,"14.482871, -11.407682"
"January 23, 2019",1,"9.702537, -13.553884"
"January 23, 2019",1,"30.750805, -104.1930918"
"January 23, 2019",1,"32.825717, -112.621267"
"January 23, 2019",1,"28.741004209, -100.507503434"
"January 23, 2019",1,"11.2755407, 49.1878994"
"January 24, 2019",2,"31.6671011, -106.4267678"
"January 24, 2019",1,"19.705606861, -99.174764263"
"January 24, 2019",1,"31.365883, -110.110767"
"January 24, 2019",1,"26.465801, 15.15121"
"January 24, 2019",1,"27.007874, 14.424636"
"January 24, 2019",1,"12.699137, -8.023181"
"January 24, 2019",1,"12.482283, -1.505151"
"January 24, 2019",1,"11.86921, 3.38894"
"January 24, 2019",1,"16.795475, -3.005595"
"January 24, 2019",2,"10.667984, -14.558985"
"January 25, 2019",1,"21.535287, 13.163018"
"January 25, 2019",2,"22.853045, 23.011175"
"January 25, 2019",1,"18.457046, 1.408655"
"January 25, 2019",1,"36.002996127, 36.369884409"
"January 25, 2019",1,"26.217242152, -98.455393501"
"January 26, 2019",1,"31.669, -110.4444"
"January 26, 2019",1,"26.143064684, -98.330164834"
"January 26, 2019",1,"32.674794575, -115.442020569"
"January 28, 2019",1,"17.871860613, -94.963871768"
"January 28, 2019",24,"8.641338758, -77.33068918"
"January 28, 2019",3,"27.345466202, -99.506891222"
"January 28, 2019",1,"25.2863125, -101.2815625"
"January 29, 2019",70,"11.903581356, 43.332109916"
"January 30, 2019",1,"27.1251894, -98.2224843"
"January 30, 2019",2,"12.050329, -4.667837"
"January 30, 2019",1,"9.532575, -7.55468"
"January 30, 2019",6,"14.219108, -0.864079"
"January 31, 2019",2,"11.349313, -5.665146"
"January 31, 2019",2,"12.699137, -8.023181"
"January 31, 2019",1,"11.127705, -4.316257"
"February 1, 2019",1,"26.082034155, -98.258656088"
"February 1, 2019",4,"40.943359495, 26.346705112"
"February 1, 2019",3,"10.495701, -5.645127"
"February 2, 2019",1,"12.051544, 0.372453"
"February 2, 2019",6,"17.012219, 7.981361"
"February 2, 2019",13,"16.230954, -0.019296"
"February 2, 2019",31,"26.510686693, -76.937172306"
"February 5, 2019",8,"34.667391957, -1.812885234"
"February 3, 2019",1,"17.7281699, -91.7589941"
"February 3, 2019",1,"45.1838373, 15.8065454"
"February 3, 2019",1,"6.764231, -5.249555"
"February 4, 2019",1,"13.561406, 2.160966"
"February 4, 2019",1,"26.378453484, -98.956549231"
"February 4, 2019",1,"34.705746118, -1.775936609"
"February 5, 2019",3,"34.9603783, -3.380756397"
"February 5, 2019",1,"43.8453737, 18.3691935"
"February 5, 2019",1,"26.140951, 14.735026"
"February 6, 2019",1,"0.934217, 43.5606946"
"February 6, 2019",1,"36.902592327, 8.477123271"
"February 6, 2019",3,"35.866177999, -5.87896776"
"February 7, 2019",1,"44.920683174, 6.673599624"
"February 7, 2019",1,"26.365378242, -98.813139597"
"February 7, 2019",1,"25.463711664, -100.97989845"
"February 7, 2019",1,"32.7855, -112.5682"
"February 7, 2019",2,"21.37762, 11.384345"
"February 8, 2019",1,"45.4405071, 14.1943098"
"February 8, 2019",3,"5.600909, -3.161187"
"February 8, 2019",14,"20.050684, 5.543735"
"February 8, 2019",7,"20.050684, 5.543735"
"February 8, 2019",4,"15.843984, -2.786168"
"February 8, 2019",1,"12.699137, -8.023181"
"February 8, 2019",2,"12.699137, -8.023181"
"February 9, 2019",1,"12.065762, -4.678001"
"February 9, 2019",5,"35.850585779, -0.543309023"
"February 9, 2019",3,"25.499053, 16.317201"
"February 9, 2019",1,"32.89534, 13.18105"
"February 9, 2019",2,"25.499053, 16.317201"
"February 9, 2019",1,"23.848018, 21.993292"
"February 10, 2019",1,"25.131601, 13.559627"
"February 10, 2019",16,"30.78197416, 10.345973083"
"February 10, 2019",2,"36.110767147, 36.380033823"
"February 11, 2019",4,"14.67917, -0.468035"
"February 11, 2019",3,"35.876466418, -5.81271291"
"February 11, 2019",1,"27.0839226, -98.1827426"
"February 11, 2019",2,"18.732206, 15.454166"
"February 11, 2019",1,"16.97314, 7.98974"
"February 12, 2019",3,"13.901389, -0.178889"
"February 13, 2019",1,"23.853192, 18.951927"
"February 13, 2019",1,"26.094483422, -98.270738236"
"February 13, 2019",1,"19.984811632, -101.150053344"
"February 13, 2019",1,"39.417612221, 26.393699501"
"February 14, 2019",1,"14.081062, -3.082222"
"February 14, 2019",1,"28.70036057, -100.510757707"
"February 14, 2019",1,"35.893361197, -5.320987701"
"February 14, 2019",3,"31.207914878, 16.508365237"
"February 14, 2019",1,"27.0663108, -98.1668337"
"February 14, 2019",2,"22.741991, 12.592819"
"February 16, 2019",1,"16.97314, 7.98974"
"February 16, 2019",1,"16.97314, 7.98974"
"February 16, 2019",3,"27.02249, 14.44099"
"February 16, 2019",1,"26.918393, 15.592092"
"February 16, 2019",1,"26.918393, 15.592092"
"February 16, 2019",3,"14.482871, -11.407682"
"February 16, 2019",1,"5.718123, 0.049"
"February 17, 2019",3,"14.081062, -3.082222"
"February 17, 2019",1,"27.1599135, -98.4664938"
"February 18, 2019",1,"22.164571, -100.938266"
"February 18, 2019",3,"41.135599002, 26.326539052"
"February 18, 2019",1,"11.127705, -4.316257"
"February 19, 2019",1,"11.2755407, 49.1878994"
"February 19, 2019",2,"12.699137, -8.023181"
"February 19, 2019",1,"14.676488506, -92.146375389"
"February 19, 2019",1,"32.542375795, -116.99953746"
"February 19, 2019",1,"32.5630235, -116.9407905"
"February 19, 2019",1,"32.3966, -113.12753"
"February 19, 2019",1,"32.3974, -113.132583"
"February 19, 2019",1,"32.7725, -112.457"
"February 19, 2019",2,"26.918393, 15.592092"
"February 19, 2019",1,"27.02249, 14.44099"
"February 20, 2019",3,"26.918393, 15.592092"
"February 20, 2019",1,"27.1754316, -98.2668689"
"February 20, 2019",1,"32.705996627, -115.159694516"
"February 21, 2019",1,"40.723671108, 26.091135275"
"February 21, 2019",1,"36.004694276, -5.509231863"
"February 21, 2019",3,"36.9195847, 37.0347615"
"February 21, 2019",1,"17.012219, 7.981361"
"February 21, 2019",1,"19.618357, 27.694968"
"February 21, 2019",2,"23.848018, 21.993292"
"February 22, 2019",1,"17.948809, 19.120111"
"February 22, 2019",1,"32.09755, -112.911483"
"February 22, 2019",2,"35.143072915, -2.9870143"
"February 22, 2019",1,"28.718723271, -100.506647433"
"February 23, 2019",1,"26.918393, 15.592092"
"February 24, 2019",1,"32.795883457, 12.734512549"
"February 24, 2019",2,"45.258959762, 15.406393713"
"February 24, 2019",1,"-1.4396877, -48.4808635"
"February 25, 2019",3,"27.02249, 14.44099"
"February 25, 2019",1,"12.479276, 1.521893"
"February 25, 2019",3,"17.736681, 34.037046"
"February 25, 2019",1,"23.180565, 25.365494"
"February 25, 2019",1,"32.680466979, -115.448329124"
"February 25, 2019",1,"31.797767, -110.2663"
"February 25, 2019",1,"32.12564, -112.87799"
"February 25, 2019",1,"32.799680261, 12.740310888"
"February 25, 2019",1,"28.620958685, -100.160775038"
"February 26, 2019",1,"32.2902, -111.3771"
"February 26, 2019",1,"31.78875, -112.15048"
"February 27, 2019",1,"31.84255, -112.438933"
"February 27, 2019",1,"35.979943305, 36.286786021"
"February 27, 2019",1,"3.546455, 38.663186"
"February 27, 2019",2,"3.517106, 39.063164"
"February 27, 2019",2,"29.680834, 20.418746"
"February 27, 2019",1,"23.527344, 22.255737"
"February 27, 2019",1,"31.75855, 14.09306"
"February 28, 2019",1,"8.156476, 23.136693"
"February 28, 2019",6,"35.856284992, -5.854248522"
"March 1, 2019",4,"14.469729, -4.160487"
"March 1, 2019",1,"12.479276, 1.521893"
"March 3, 2019",2,"16.345883872, -92.595581926"
"March 3, 2019",1,"32.666091672, -115.52755085"
"March 3, 2019",1,"13.436905, -6.200409"
"March 3, 2019",1,"22.1728887, -100.9674528"
"March 3, 2019",1,"35.907899478, -5.347827507"
"March 5, 2019",1,"27.54682, 14.26757"
"March 5, 2019",1,"27.02249, 14.44099"
"March 5, 2019",1,"28.092584, 13.817789"
"March 5, 2019",2,"28.092584, 13.817789"
"March 5, 2019",1,"28.092584, 13.817789"
"March 5, 2019",1,"-1.4396877, -48.4808635"
"March 6, 2019",1,"32.249683, -111.935167"
"March 6, 2019",3,"14.337751, -0.86585"
"March 6, 2019",2,"22.741991, 12.592819"
"March 7, 2019",1,"20.293406, 26.087168"
"March 7, 2019",3,"14.081062, -3.082222"
"March 7, 2019",3,"37.765329835, 27.098161932"
"March 7, 2019",1,"8.642780272, -77.529404493"
"March 7, 2019",24,"16.879242771, -92.916367625"
"March 8, 2019",1,"45.1224366, 19.2209294"
"March 8, 2019",1,"50.97162284, 1.858666926"
"March 8, 2019",2,"32.83091436, 12.781146359"
"March 8, 2019",15,"15.724367, -4.955348"
"March 9, 2019",2,"14.469729, -4.160487"
"March 9, 2019",1,"32.817109118, 12.877722159"
"March 9, 2019",1,"27.02249, 14.44099"
"March 9, 2019",1,"27.02249, 14.44099"
"March 10, 2019",1,"28.092584, 13.817789"
"March 10, 2019",1,"22.741991, 12.592819"
"March 10, 2019",1,"39.014895057, 26.180971589"
"March 10, 2019",1,"39.270273892, 26.398878351"
"March 10, 2019",1,"44.887482348, 19.361060497"
"March 10, 2019",1,"12.479276, 1.521893"
"March 10, 2019",1,"14.482871, -11.407682"
"March 11, 2019",2,"5.684477, -0.211797"
"March 11, 2019",1,"31.784017, -112.123567"
"March 11, 2019",1,"18.232326184, -69.057353262"
"March 11, 2019",3,"32.92432, 12.09157"
"March 11, 2019",2,"10.3938218, 47.7637565"
"March 12, 2019",1,"17.012219, 7.981361"
"March 12, 2019",1,"11.710932, -9.50458"
"March 12, 2019",1,"12.699137, -8.023181"
"March 12, 2019",1,"17.012219, 7.981361"
"March 13, 2019",2,"12.782551, -7.728195"
"March 13, 2019",1,"14.482871, -11.407682"
"March 13, 2019",1,"31.78935, -112.433433"
"March 13, 2019",2,"22.741991, 12.592819"
"March 13, 2019",6,"28.092584, 13.817789"
"March 13, 2019",1,"27.02249, 14.44099"
"March 14, 2019",1,"13.80479, 8.98768"
"March 14, 2019",3,"13.436905, -6.200409"
"March 14, 2019",1,"5.448645, -4.026206"
"March 14, 2019",2,"11.349313, -5.665146"
"March 14, 2019",45,"35.298258843, -2.688431354"
"March 15, 2019",1,"16.795475, -3.005595"
"March 15, 2019",1,"31.9746, -112.6818"
"March 15, 2019",1,"20.293406, 26.087168"
"March 16, 2019",1,"16.97314, 7.98974"
"March 16, 2019",2,"14.342818, -3.603553"
"March 17, 2019",1,"17.736681, 34.037046"
"March 17, 2019",3,"17.736681, 34.037046"
"March 17, 2019",1,"19.618357, 27.694968"
"March 17, 2019",1,"25.56391416, -103.492111623"
"March 17, 2019",19,"29.425766218, -10.453333285"
"March 17, 2019",1,"16.97314, 7.98974"
"March 17, 2019",2,"21.524523, 18.303248"
"March 17, 2019",1,"23.848018, 21.993292"
"March 18, 2019",3,"19.968086, 13.518697"
"March 18, 2019",1,"23.84594, 21.835454"
"March 18, 2019",3,"35.267895221, -2.799562392"
"March 19, 2019",4,"32.816243467, 12.530851413"
"March 19, 2019",1,"35.320534947, -2.951115677"
"March 19, 2019",2,"0.439018, 9.483392"
"March 19, 2019",1,"12.699137, -8.023181"
"March 19, 2019",1,"12.432517, -1.520122"
"March 19, 2019",1,"12.432517, -1.520122"
"March 19, 2019",3,"19.968086, 13.518697"
"March 19, 2019",1,"21.524523, 18.303248"
"March 19, 2019",2,"24.228361376, 21.977284657"
"March 20, 2019",2,"16.97314, 7.98974"
"March 20, 2019",2,"25.492777, 16.534439"
"March 20, 2019",2,"27.02249, 14.44099"
"March 20, 2019",1,"27.02249, 14.44099"
"March 20, 2019",2,"32.89534, 13.18105"
"March 20, 2019",3,"25.492777, 16.534439"
"March 20, 2019",5,"16.230954, -0.019296"
"March 20, 2019",1,"24.0571489, -105.4576698"
"March 21, 2019",1,"32.34555, -113.1166"
"March 21, 2019",1,"11.115414, 0.009824"
"March 21, 2019",1,"6.362728, 2.300038"
"March 21, 2019",1,"10.621309, -4.744354"
"March 21, 2019",1,"6.765396, 47.412245"
"March 21, 2019",2,"19.968086, 13.518697"
"March 21, 2019",2,"24.363891405, 14.472697249"
"March 21, 2019",1,"22.319486, 17.929712"
"March 22, 2019",2,"31.76402, 14.03511"
"March 22, 2019",2,"31.76402, 14.03511"
"March 22, 2019",1,"14.76791, -17.263067"
"March 22, 2019",1,"11.154918, -1.142613"
"March 22, 2019",2,"12.479276, 1.521893"
"March 22, 2019",1,"12.167129, -0.34371"
"March 22, 2019",1,"35.324581078, -2.955065558"
"March 23, 2019",10,"13.865704815, 99.587248724"
"March 23, 2019",41,"32.837325915, 12.432737423"
"March 23, 2019",8,"35.317034468, 11.078928259"
"March 23, 2019",1,"32.89534, 13.18105"
"March 23, 2019",2,"23.84594, 21.835454"
"March 23, 2019",1,"13.62432, 25.35563"
"March 23, 2019",1,"20.293406, 26.087168"
"March 24, 2019",1,"16.97314, 7.98974"
"March 24, 2019",3,"12.432517, -1.520122"
"March 24, 2019",1,"12.135542, 15.133711"
"March 24, 2019",2,"27.403037242, -99.478838605"
"March 24, 2019",1,"40.886871122, 26.249464612"
"March 24, 2019",1,"40.858181571, 26.233806481"
"March 26, 2019",1,"31.823, -111.569833"
"March 25, 2019",1,"19.334475177, -98.069823988"
"March 26, 2019",4,"39.441975592, 26.378816196"
"March 26, 2019",1,"35.871901876, -5.343037666"
"March 26, 2019",1,"27.02249, 14.44099"
"March 26, 2019",2,"24.934383, 14.633161"
"March 26, 2019",1,"35.635115913, -5.275650104"
"March 27, 2019",1,"32.663359493, -115.603940163"
"March 27, 2019",2,"11.127705, -4.316257"
"March 27, 2019",2,"10.667984, -14.558985"
"March 27, 2019",1,"-0.339543, 42.547825"
"March 28, 2019",2,"38.362368697, 26.172509474"
"March 29, 2019",1,"40.880966337, 26.221849981"
"March 30, 2019",1,"32.1248, -112.72103"
"March 31, 2019",1,"41.420003177, 22.22212315"
"March 31, 2019",1,"17.736681, 34.037046"
"March 31, 2019",1,"23.527344, 22.255737"
"March 31, 2019",1,"44.9837039, 15.4764107"
"March 31, 2019",19,"21.544304856, -72.464247664"
"April 1, 2019",1,"35.980298765, -5.77366968"
"April 1, 2019",50,"33.307272562, 12.308126103"
"April 2, 2019",1,"35.358181389, -3.963637678"
"April 2, 2019",1,"31.760028, -112.418722"
"April 3, 2019",1,"23.260560932, -102.337369154"
"April 3, 2019",2,"27.346667453, 62.38923041"
"April 5, 2019",1,"27.425562771, -99.480615395"
"April 5, 2019",1,"27.476619775, -99.481873324"
"April 5, 2019",1,"36.239751185, 36.687511302"
"April 5, 2019",1,"2.5, 42.329444"
"April 6, 2019",1,"31.56635, -109.16429"
"April 6, 2019",2,"31.813108233, -106.799261943"
"April 6, 2019",1,"36.287447264, 28.186812824"
"April 7, 2019",1,"12.699137, -8.023181"
"April 7, 2019",3,"11.349313, -5.665146"
"April 7, 2019",2,"36.305288576, 28.199649284"
"April 7, 2019",1,"20.249934739, -99.662936105"
"April 7, 2019",1,"39.081226158, 26.81809301"
"April 7, 2019",1,"12.699137, -8.023181"
"April 7, 2019",3,"11.349313, -5.665146"
"April 7, 2019",1,"11.2697552, 49.1768583"
"April 7, 2019",1,"11.2755407, 49.1878994"
"April 8, 2019",1,"32.679779166, -115.449979362"
"April 9, 2019",11,"14.081062, -3.082222"
"April 9, 2019",11,"14.081062, -3.082222"
"April 10, 2019",3,"12.699137, -8.023181"
"April 10, 2019",3,"12.699137, -8.023181"
"April 10, 2019",1,"11.139841, 2.929701"
"April 10, 2019",1,"33.396503389, 12.252819237"
"April 10, 2019",1,"27.2164741, -98.1844026"
"April 10, 2019",1,"27.170058, -98.1775638"
"April 10, 2019",1,"32.277567, -111.985583"
"April 10, 2019",3,"18.478291952, 1.412171375"
"April 11, 2019",1,"27.476374406, -99.482152274"
"April 11, 2019",1,"28.707883038, -100.511306505"
"April 12, 2019",3,"14.238281, -0.863079"
"April 12, 2019",2,"5.448645, -4.026206"
"April 12, 2019",1,"14.040163, -0.019604"
"April 12, 2019",1,"31.759988641, -106.50243075"
"April 12, 2019",3,"14.238281, -0.863079"
"April 12, 2019",1,"14.040163, -0.019604"
"April 12, 2019",6,"38.035736716, 44.290931494"
"April 13, 2019",13,"27.59712, -99.5372"
"April 14, 2019",1,"37.831638332, 26.697766508"
"April 14, 2019",1,"32.940642217, 12.88458853"
"April 14, 2019",2,"13.862063, -2.846229"
"April 14, 2019",6,"14.238281, -0.863079"
"April 14, 2019",2,"5.446192, -3.995437"
"April 14, 2019",1,"12.432517, -1.520122"
"April 14, 2019",1,"6.484370298, 2.396174115"
"April 14, 2019",1,"7.006736497, -1.660068162"
"April 14, 2019",1,"12.432517, -1.520122"
"April 14, 2019",2,"14.22495, -0.860624"
"April 14, 2019",2,"5.430734, -4.039775"
"April 14, 2019",6,"14.238281, -0.863079"
"April 14, 2019",1,"9.62204, -13.588944"
"April 14, 2019",2,"5.34845, -4.024984"
"April 14, 2019",1,"9.464327, 0.414987"
"April 14, 2019",1,"12.432517, -1.520122"
"April 15, 2019",2,"9.976867, -5.147179"
"April 16, 2019",3,"38.571973, 44.914392"
"April 17, 2019",1,"29.320788246, -100.917525824"
"April 17, 2019",2,"26.951081889, -98.367782303"
"April 17, 2019",1,"9.924704, -3.41545"
"April 17, 2019",1,"11.810175, 3.066426"
"April 17, 2019",1,"5.34845, -4.024984"
"April 17, 2019",1,"9.779978, -5.020201"
"April 17, 2019",1,"11.810175, 3.066426"
"April 18, 2019",1,"14.6414231, -90.5462069"
"April 19, 2019",1,"2.387595, 6.369104"
"April 19, 2019",1,"6.659396, -1.621256"
"April 19, 2019",1,"12.432517, -1.520122"
"April 19, 2019",1,"27.504285017, -99.528458651"
"December 19, 2019",1,"50.597638474, 3.445888463"
"April 19, 2019",1,"31.35387, -110.889"
"April 19, 2019",4,"38.035736716, 44.290931494"
"April 19, 2019",2,"10.000556754, -5.149189627"
"April 20, 2019",3,"18.453137, 1.41844"
"April 20, 2019",1,"32.666, -112.9085"
"April 20, 2019",1,"16.793118118, -3.00248649"
"April 21, 2019",2,"18.448899, 26.220846"
"April 21, 2019",1,"18.448899, 26.220846"
"April 21, 2019",1,"18.448899, 26.220846"
"April 21, 2019",1,"24.074353, 32.930866"
"April 21, 2019",1,"11.167335004, 2.928155727"
"April 21, 2019",1,"32.3992, -113.25417"
"April 21, 2019",1,"32.40185, -113.2377"
"April 21, 2019",1,"32.728409434, -114.707759931"
"April 21, 2019",1,"12.432517, -1.520122"
"April 22, 2019",1,"5.446192, -3.995437"
"April 22, 2019",1,"11.102272965, 0.009720323"
"April 22, 2019",1,"31.620583, -111.979067"
"April 22, 2019",1,"32.4326, -113.10806"
"April 22, 2019",5,"6.776227, 101.657697"
"April 22, 2019",1,"22.294939, 91.763224"
"April 22, 2019",2,"31.55723, -106.27218"
"April 22, 2019",1,"26.068308626, -97.154688461"
"April 22, 2019",4,"35.856516687, -5.294925268"
"April 22, 2019",1,"12.432517, -1.520122"
"April 22, 2019",1,"5.605775751, -3.979681824"
"April 23, 2019",1,"11.120327202, 0.011204833"
"April 23, 2019",1,"7.738804, -5.006729"
"April 23, 2019",1,"7.738804, -5.006729"
"April 23, 2019",1,"5.446192, -3.995437"
"April 23, 2019",3,"17.8409173, -92.6189273"
"April 23, 2019",1,"32.720561238, -114.71685045"
"April 23, 2019",1,"32.720561238, -114.71685045"
"April 23, 2019",1,"28.740755681, -100.507374644"
"April 23, 2019",1,"27.422505557, -99.495945714"
"April 23, 2019",1,"17.8409173, -92.6189273"
"April 23, 2019",14,"8.5637872, -77.8931022"
"April 24, 2019",1,"6.5266457, 100.4193175"
"April 24, 2019",5,"22.336159, 91.783065"
"April 24, 2019",10,"18.154666, 103.919424"
"April 24, 2019",2,"16.955248, 96.277546"
"April 24, 2019",7,"6.605441, 101.345078"
"April 24, 2019",23,"10.57866372, -61.791136728"
"April 24, 2019",1,"28.711263268, -100.508120252"
"April 24, 2019",1,"28.680971826, -100.507273575"
"April 25, 2019",1,"32.631914997, -116.971303002"
"April 25, 2019",1,"41.269784949, 26.42576409"
"April 25, 2019",5,"22.344155, 91.855184"
"April 25, 2019",5,"21.159601, 92.644961"
"April 25, 2019",2,"22.271788, 91.706172"
"April 25, 2019",2,"7.985996, 16.975448"
"April 26, 2019",1,"-4.024984, 5.34845"
"April 27, 2019",1,"22.524866, 9.987734"
"April 26, 2019",1,"19.5850377, -98.5666077"
"May 2, 2019",1,"1.515145, 12.479761"
"April 27, 2019",21,"35.021851457, -2.230722467"
"April 27, 2019",1,"27.380512013, -99.492674487"
"April 27, 2019",1,"20.050684, 5.543735"
"April 28, 2019",1,"16.2371385, -93.8986279"
"April 29, 2019",1,"28.721617905, -100.509750105"
"April 29, 2019",1,"27.48001866, -99.479560663"
"April 29, 2019",1,"35.894568731, -5.320015124"
"April 30, 2019",1,"27.7490298, -97.3863474"
"April 30, 2019",1,"28.706848427, -100.507718231"
"April 30, 2019",2,"31.161294, 16.574304"
"April 30, 2019",2,"32.457955, 11.528213"
"April 30, 2019",1,"18.448899, 26.220846"
"April 30, 2019",2,"18.448899, 26.220846"
"April 30, 2019",1,"17.690454, 34.042331"
"April 30, 2019",3,"24.663612, 21.384746"
"April 30, 2019",7,"24.663612, 21.384746"
"April 30, 2019",1,"2.5, 42.329444"
"April 30, 2019",2,"31.13712, 29.945215"
"April 30, 2019",1,"31.718439, 14.10823"
"April 30, 2019",3,"32.829024, 13.205116"
"April 30, 2019",3,"31.718439, 14.10823"
"April 30, 2019",5,"32.829024, 13.205116"
"April 30, 2019",1,"26.963269, 14.521091"
"May 1, 2019",4,"29.333146234, -100.939984374"
"May 1, 2019",1,"28.7226959, -100.5166047"
"May 1, 2019",1,"45.613822609, 15.307654499"
"May 1, 2019",1,"37.029691799, 27.407797996"
"May 1, 2019",9,"35.86529691, -5.827087845"
"May 2, 2019",1,"3.987656, 19.834348"
"May 2, 2019",4,"35.86529691, -5.827087845"
"May 2, 2019",1,"35.838369395, -5.982963672"
"May 2, 2019",4,"-0.860624, 14.22495"
"May 2, 2019",2,"-0.756404, 14.304578"
"May 3, 2019",1,"-4.024984, 5.34845"
"May 3, 2019",3,"3.37494, 6.519403"
"May 2, 2019",1,"9.405992, 45.067997"
"May 3, 2019",1,"2.123324, 13.508763"
"May 3, 2019",2,"5.518411, 22.780989"
"May 3, 2019",1,"-0.028555, 16.261959"
"May 5, 2019",1,"-4.024984, 5.34845"
"May 5, 2019",1,"-13.671278, 13.76998"
"May 3, 2019",1,"35.5517323, -5.2421669"
"May 3, 2019",12,"39.290756355, 26.57642698"
"May 4, 2019",5,"13.62403, 100.403506"
"May 5, 2019",8,"22.352094, 91.862493"
"May 4, 2019",1,"36.076291184, -5.363376372"
"May 4, 2019",1,"19.072646809, -98.176404242"
"May 5, 2019",4,"1.922841617, 104.155461901"
"May 5, 2019",2,"16.416331403, -92.259368269"
"May 5, 2019",2,"-1.52105, 12.368721"
"May 6, 2019",1,"-1.086697, 13.089834"
"May 7, 2019",4,"-1.307491, 23.338396"
"May 5, 2019",1,"27.495635827, -99.489473063"
"May 6, 2019",1,"27.499010531, -99.508511442"
"May 6, 2019",4,"21.002674422, 92.260971125"
"May 6, 2019",1,"14.901059828, -92.261950526"
"May 7, 2019",9,"-1.419583, 23.073946"
"May 9, 2019",1,"-9.397013, 9.971204"
"May 10, 2019",1,"-1.551727, 14.409062"
"May 7, 2019",1,"29.0638308, -13.7675788"
"May 7, 2019",1,"32.29458, -113.23042"
"May 8, 2019",1,"17.555709223, -92.338776619"
"May 8, 2019",1,"28.330829836, -100.30224752"
"May 8, 2019",2,"36.2641224, -6.0873922"
"May 10, 2019",2,"-0.860624, 14.22495"
"May 9, 2019",1,"32.135866, -113.135886"
"May 10, 2019",3,"1.409297, 18.451348"
"May 11, 2019",4,"-4.306153, 11.158826"
"May 12, 2019",1,"11.519096, 20.684159"
"May 10, 2019",59,"34.643922078, 11.321992814"
"May 10, 2019",3,"44.811812617, 15.879408028"
"May 10, 2019",1,"31.763443183, -106.506078588"
"May 10, 2019",1,"32.731083, -112.824617"
"May 11, 2019",1,"17.73107187, -95.131446728"
"May 11, 2019",1,"16.991318, 96.062731"
"May 12, 2019",1,"5.873958, 20.008058"
"May 13, 2019",2,"-0.519254, 14.032179"
"May 13, 2019",1,"-3.002443, 16.765672"
"May 12, 2019",3,"6.663116, 101.720689"
"May 12, 2019",3,"0.4620818, -77.9426706"
"May 12, 2019",1,"41.327261928, 26.509923237"
"May 12, 2019",1,"32.40015, -113.11957"
"May 12, 2019",1,"32.40818, -113.12102"
